id,sentence,difficulty
1482,Peux-tu m'aider?,A1
1483,Votre amitié me soutenait : sans cette amitié je ne puis vivre.,C2
1484,"C'est un immeuble gris, pas très loin de l'école et de chez moi.",A2
1485,"La ""visio"" atténuera sans doute l'émotion des retrouvailles et la solennité des adieux.",C1
1486,Il était déjà minuit et quart quand Pierre est rentré chez lui.,B1
1487,"Cependant une invincible timidité m'arrêtait : tous mes discours expiraient sur mes lèvres, ou se terminaient tout autrement que je ne l'avais projeté.",C2
1488,Sixtine nous a cassé les couilles sur le forum de gestion de projet.,B2
1489,J'ai 20 ans.,A1
1490,"Pis, leurs compagnons peuvent être saisis d'angoisse face à leur ménopause, observe la psychanalyste Jacqueline Schaeffer.",C1
1491,Salut!,A1
1492,"Ils habitent en face d'une serveuse, Penny, dont le rêve est de devenir actrice.",B1
1493,"Alors, en quelque mois, éleveurs et fonctionnaires du Montana abattent, avec l'accord du parc, plus de 1000 bisons sans même vérifier s'ils sont porteurs de brucellose.",C1
1494,Tu prends une douche et tu vas au lit.,A1
1495,"Il marcha pendant un an et un jour, se nourrissant de fruits et de racines.",B1
1496,"C'est cette première canicule qui avait notamment décidé Greta Thunberg à s'asseoir avec sa pancarte devant le parlement de Stockholm, c'était le début de la grande mobilisation des jeunes pour le climat",B1
1497,Mon petit frère a pris le bus public pour aller jouer au football avec ses copains.,A2
1498,"Je crois à l'existence d'un mammifère, puissamment organisé, appartenant à l'embranchement des vertébrés, comme les baleines, les cachalots ou les dauphins, et muni d'une défense cornée dont la force de pénétration est extrême.",C1
1499,"Or à prendre les choses rigoureusement, l'homme est tout aussi déterminé à se mouvoir sous l'influence de causes externes qu'une pierre qui reçoit une impulsion",C2
1500,Je n'ai pas très faim.,A1
1501,Nous pouvons affirmer avec certitude que cette zone était utilisée comme cimetière entre le dernier quart du Ier siècle et la première moitié du IIe siècle de notre ère.,C1
1502,On cherche toujours à opposer l'humain et la machine.,B1
1503,Je les ai vues devant la pharmacie,A2
1504,Un enseignement scolaire pour créer des liens entre les matières,C1
1505,"Coucou mes amis, je réunis tous ceux que j'aime bien pour fêter l'arrivée de l'été le 21 juin",A1
1506,"À vingt ans, le prince était d'une beauté splendide.",B1
1507,Alors le Salon du Chocolat est l'événement à ne pas manquer,A2
1508,"Un Chat, nommé Rodilardus, faisait de rats telle déconfiture, que l'on n'en voyait presque plus, tant il en avait mis dedans la sépulture.",C2
1509,"Elle présente un style très cohérent, car elle a été construite assez rapidement.",C1
1510,"Elle fais ses devoirs puis prépare le dîner et finalement, elle regarde un film avant d'aller se coucher",B1
1511,Le train de ma soeur arrive à 20h05,A1
1512,En un mot : toute ma vie.,A2
1513,"La trap, ça reste du rap, c'est juste un petit dérivé",A2
1514,Le stockage des déchets radioactifs présente un grand risque pour l'environnement.,B2
1515,"Tout d'abord, pourquoi ne pas considérer le travail comme une unique contrainte puisque dès son origine, cette activité est désignée comme telle",C2
1516,Cet essor est lié à la mise en place de mesures fiscales favorables aux parents.,C1
1517,J'ai rendez vous chez le coiffeur.,A1
1518,Qu'est-ce que vous mangez pour le petit-déjeuner ?,A1
1519,"Et chez vous, comment va la vie ?",A1
1520,Les fortunes détruites sont les chevrons des courtisanes.,C2
1521,As-tu prévu quelque chose ?,B1
1522,"Caterina serait, selon la tradition, fille de paysans pauvres.",B2
1523,C'est dramatique qu'ils aient été amnésique suite au terrible accident survenu lors des tests de laboratoire.,C1
1524,Je t'ai attendu 1 heure devant le cinéma dans le froid,A2
1525,"À terme, plus de 300 déchetteries professionnelles collecteront gratuitement ces déchets qui seront ensuite transportés dans des centres de traitement où ils suivront le même circuit que les déchets ménagers : destruction, dépollution, puis réutilisation dans la fabrication de nouveaux équipements électroniques.",B2
1526,"Pour recevoir nos annonces sur votre boîte mail, inscrivez-vous sur le site de notre agence d'intérim adeki.fr.",B2
1527,En attendant la retraite.,A2
1528,"Toi, tu peux apporter un jus de fruits.",A1
1529,Je suis persuadé que la robolution va profondément modifier notre système économique.,C2
1530,Il est très joyeux et il siffle.,A1
1531,C'était une pièce vide et triste ; aux parois lépreuses des murs s'effiloquaient des débris d'affiches officielles,C1
1532,"Ces défis environnementaux, avec la mobilité internationale qui s'intensifie, les migrations de personnes et le commerce international de marchandises et de services, montrent que la préservation du bien-être revêt de plus en plus une dimension globale.",C1
1533,L'enseignement des langues dans l'école française est - comment dire ça poliment,C2
1534,"La Semaine s'est ouverte lundi sur le parvis du Trocadéro à Paris, par un événement symbolique, en présence des adjointes pour les personnes handicapées au maire de Paris.",B1
1535,Cette voiture ressemble à ma voiture.,A1
1536,"Le plus inquiétant et scandaleux, c'est en mathématiques : il échange ses réponses et travaux pratiques à tout l'internat contre rétribution, ce qui explique les quantités de provisions et d'objets illégaux qui dans son placard.",C1
1537,"Cette entreprise vient de s'installer dans la région, elle va recruter!",B1
1538,La mort a figé le jeune homme dans une posture christique.,C2
1539,Je passe par la Suisse.,B1
1540,"Comme au judaïsme, il lui oppose l'idée d'une ""jouissance sanctifiée"".",C2
1541,"Pour lui, parler sa langue maternelle avec ses filles, c'est surtout transmettre quelque chose de la culture danoise.",B1
1542,Avez-vous quelque chose à déclarer ?,A1
1543,"Je vous rappelle vos rendez-vous de demain, mardi.",A1
1544,"Chaque été, nous nous rendons au chalet de mes grands-parents.",B1
1545,Un passager peut se tenir à califourchon derrière le pilote si la motocyclette est conçue pour.,C2
1546,"Un instant, s'il vous plaît.",A1
1547,"Quand le mystère est trop impressionnant, on n'ose pas désobéir.",B1
1548,Nous proclamerons notre indépendence dès que l'armistice sera signé.,B2
1549,"Il est bien, ce musée !",A1
1550,Juste un peu.,A1
1551,"Or, le Code du travail stipule que pour pouvoir bénéficier d'un congé sabbatique, le salarié doit remplir une double condition d'ancienneté de trente-six mois, consécutifs ou non, dans l'entreprise et six années d'activité professionnelle antérieure",C1
1552,Il a plusieurs choses à faire ce soir.,A2
1553,Je vis chez Gérarda avec ma fille depuis deux ans.,A1
1554,Il commence à y avoir de la pluie et du vent. C'est le moment de sortir mon manteau et mon parapluie !,A1
1555,On les appelle les nouveaux pères .,B1
1556,Tu veux venir avec moi demain soir au concert du chanteur M ?,A2
1557,"Elle entend le clapotis de vagues, le cri des enfants qui jouent, la sirène d'un bateau rentrant au port.",B1
1558,"C'était presque la première fois, parce qu'elle ne sourit pas très souvent.",B1
1559,"À 40 ans, il est usé.",B1
1560,"Une vieille dame : Celle-ci, c'est la Harco, là-bas dans le fond, c'est la Coucou de Rennes",A2
1561,"En parallèle, les romans et les films de science-fiction ont présenté des robots, comme les Transformers par exemple, aux pouvoirs surhumains.",C1
1562,"En plus d'une formation aux langages informatiques purs, Sayna impose aussi l'apprentissage d'une toute autre forme de code.",B2
1563,"Si ces tests confirment l'anomalie, un médecin du service de transfusion prendra contact et informera le donneur, au plus tard dans les dix jours qui suivent le prélèvement.",C1
1564,"Mais si, ça me fait plaisir d'aller à Bâle avec vous.",B1
1565,"Tout à coup, il y eut un hurlement, un craquement parmi les branches, et un petit homoncule rose arriva vers nous en poussant des cris.",C2
1566,"En 2007, moins de 8% des déchets des entreprises ont fait l'objet d'une collecte sélective. Un résultat largement inférieur à celui des déchets ménagers, qui forment la grande majorité des quelque 2 millions de tonnes de déchets électroniques produits chaque année en France, selon l'Agence de l'environnement et de la maîtrise d'énergie (Ademe).",B2
1567,"En Occasionnel, il s'agit de 15 manches maximum, la première équipe à gagner 8 manches l'emporte.",B2
1568,"Deux passions artistiques qui lui permettent d'accéder à son premier rôle au cinéma : celui d'une professeure de piano dans le film Au revoir les enfants, de Louis Malle.",C1
1569,Tu vois le château là-bas ?,A1
1570,On dirait qu'il y a beaucoup de travaux à faire.,B1
1571,"Comme il ne pouvait pas sortir, il s'enveloppa dans son manteau, se coucha à terre, et dormit comme les serpents.",A2
1572,"Cela suppose de totalement repenser la classe évidemment, puisque le cours, le modèle transmissif classique doit être fait à la maison, donc il faut d'autres activités en classe, des activités qui vont supposer en effet des questionnaires à choix multiple, ou éventuellement l'utilisation de boîtiers de vote, des ateliers.",C2
1573,"Cette notion désignait essentiellement, et de façon pragmatique, un équilibre purement mécanique entre les puissances du Continent européen, qui devait prévenir l'apparition d'une hégémonie quelconque: lorsque l'équilibre était troublé, les autres États le reconstituaient quasi automatiquement en s'alliant contre le perturbateur.",C2
1574,"C'est juste une petite infection, on va vous soigner.",B1
1575,"Et Forestier, presque couché sur le canapé, une jambe repliée sous lui, la serviette glissée dans son gilet pour ne point maculer son habit, déclara 151 tout à coup, avec un rire convaincu de sceptique : ""Sacristi oui, on s'en paierait si on était sûr du silence. Bigre de bigre ! les pauvres maris !""",C2
1576,"Au fil de retours en arrière éclairant la vie passée de l'héroïne, l'écrivaine chronique par touches la disparition successive de plusieurs spécimens.",C1
1577,"Les gamins, vêtus pareillement à leurs papas, semblaient incommodés par leurs habits neufs (beaucoup même étrennèrent ce jour-là la première paire de bottes de leur existence), et l'on voyait à côté d'eux, ne soufflant mot dans la robe blanche de sa première communion rallongée pour la circonstance, quelque grande fillette de quatorze ou seize ans, leur cousine ou leur soeur aînée sans doute, rougeaude, ahurie, les cheveux gras de pommade à la rose, et ayant bien peur de salir ses gants.",C2
1578,Quel dommage que personne ne veuille faire de discours pour son départ en retraite la semaine prochaine.,B1
1579,"Neuf militants de l'ONG, vêtus de jaune ou de blanc, ont escaladé, vers 9 heures du matin, le grillage du tarmac de l'aéroport et se sont déployés autour d'un avion Boeing 777 de la compagnie Air France, stationné au sol et sans passager à bord.",C1
1580,Les enfants étaient allés dans le bois des chênes pour couper des branches et se faire des couronnes en feuilles à la manière des empereurs romains.,B2
1581,La corruption se ressent à différents niveaux: les salaires sont si bas que les employés sont tentés d'accepter des pots-de-vin pour approuver des plans d'exploitation qu'ils n'ont jamais vus.,B2
1582,J'ai eu soif et j'ai pris un café,A2
1583,"Pourtant, ce geste familier rappelle quotidiennement la construction inégalitaire du Monde initiée au XVe siècle.",C1
1584,"Votre nom, comment ça s'écrit ?",A1
1585,Je reste à la maison,A1
1586,Je promène le chien de ma voisine qui est en vacances.,A1
1587,Il ne me laisse pas regarder la télévision.,A1
1588,"Eh bien alors séduis, fais ton odieux travail de technique et perds ton âme.",C1
1589,"La journée de dimanche a été particulièrement meurtrière avec au moins 18 morts dans les rangs des manifestants, d'après les Nations Unies.",B2
1590,"Le seuil de douleur est à environ 120 dB, mais l'oreille est vulnérable dès le seuil de 90 dB avec une écoute de plusieurs heures.",B2
1591,"La tradition nord-américaine veut qu'on se retrouve en famille pour manger une dinde farcie accompagnée d'une purée de pommes de terre, de patates douces, d'une gelée de canneberges et une tarte à la citrouille",B2
1592,Tu es toujours étudiant ?,A1
1593,"Avec les prévisions météo, on peut savoir quel temps il fera le soir, le lendemain ou dans la semaine",B1
1594,Le concept est simple : chaque ménage peut déposer son appareil hors d'usage contre l'achat d'un neuf chez le même distributeur.,B2
1595,Je suis déçu que la réunion d'hier se termine de cette manière.,B1
1596,Je vous coupe les cheveux comme cela ?,A1
1597,Pourquoi il ne parle pas ?,A1
1598,"Plusieurs caractéristiques des anciens rapports sociaux ont été conservées - notamment l'interdisciplinarité (on trouvera ici des contributions d'économistes, de sociologues, de politologues, de démographes) et le plurilinguisme (le rapport est publié en allemand, en français et en anglais, afin d'ouvrir et d'internationaliser le débat).",C1
1599,Mes plus subtils efforts s'inanisèrent devant le parti pris mutiste du père de Georges.,C2
1600,Le restaurant est sur votre gauche,A1
1601,"À mi-parcours, il doit souvent faire demi-tour",B2
1602,"Bientôt, ce sera au tour des entreprises de bénéficier d'une telle possibilité, qui devrait permettre de collecter et de recycler près de 70 000 tonnes de déchets professionnels.",B2
1603,"En attendant, pour le remplacer, je vous présente notre nouveau cuisinier.",B1
1604,"Le piment végétarien, que l'on appelle aussi piment végétal, est un incontournable de la cuisine antillaise",C1
1605,Le 24 décembre est le jour du réveillon,B2
1606,"Il a fait construire en plus une belle véranda contenant une bibliothèque, pour profiter du soleil et d'une vue sur le jardin",B1
1607,"L'engouement pour les potagers s'inscrit dans le mouvement du développement de l'autonomie alimentaire, un mouvement accentué par cette crise du coronavirus.",B2
1608,Quand je l'ai vu mon coeur s'est mis à battre très fort.,B1
1609,"Qu'est-ce qui peut bien poser problème dans ces petits livrets pourtant plutôt attractifs pour que seuls 23, 4 % de leurs détenteurs arrivent au bout ?",C2
1610,Le maître et le chien doivent bien se connaître mais aussi et surtout bien se comprendre.,B1
1611,"Quand je me suis levé ce matin, j'avais un mal de ventre horrible.",B1
1612,"Telle est l'analyse de l'Union fédérale des consommateurs qui a demandé, mardi 9 août, en dévoilant une synthèse sur le sujet une profonde inflexion dans la gestion des ressources disponibles",C2
1613,"Je ne crois pas qu'on doive interdire aux gens de revenir si c'est leur volonté, mais ils devraient disposer d'un logement ailleurs au cas où",B1
1614,La production disparut presque totalement en France.,B2
1615,J'ai de la chance d'avoir vu le spectacle plus de 500 fois,A2
1616,Tu as vu mes soeurs,A1
1617,"Le lendemain de son 50ème anniversaire, on lui diagnostique un cancer du poumon en phase terminale avec une espérance de vie estimée à deux ans.",C1
1618,"Avec la lutte contre le séparatisme, une stratégie d'entrave et répressive contre l'islam radical est mise en oeuvre.",C1
1619,"Et lorsqu'ils commencent à ôter le plancher de la salle à manger, ils découvrent du sang coagulé.",B2
1620,Il t'ordonne de partir immédiatement !,A2
1621,"Serait - ce que la vie semble d'autant plus réelle que toutes les illusions disparaissent, comme la cime des rochers se dessine mieux dans l'horizon lorsque les nuages se dissipent ?",C2
1622,Une frange de la population s'en trouve exclue et souffre tant des conditions matérielles à laquelle elle est réduite que du regard porté sur elle.,C2
1623,L'auteur souhaite encourager les femmes à s'impliquer en mathématiques.,B2
1624,"Je cours dans ma chambre, et je me dépêche de m'habiller et de me maquiller, puis je vais prendre le métro",A2
1625,"Jamais, moi je parlerai comme ça de mon père.",A2
1626,Nous avons réfléchi et nous avons choisi un bonbon,A2
1627,"Malgré la montée des problèmes liés à l'obésité, la priorité absolue de la FAO reste la lutte contre la faim, car 840 millions de personnes continuent de souffrir chroniquement de sous-alimentation.",C1
1628,"Une vision qui rejoint celle de D. Méda : elle en appelle également à désenchanter le travail, c'est-à-dire à relativiser sa place dans nos sociétés au profit des activités sociales et politiques, qui développent l'autonomie et la coopération.",C2
1629,Les étudiantes se seraient assises sur un banc en vous attendant.,B2
1630,"Quand on était petit, on apprenait à marcher.",A2
1631,"Mais à la fin, monsieur, quelle raison avez-vous de haïr Montfleury ?",B1
1632,"Autrefois, la faune et la flore partout, mais maintenant nos villes ne sont plus que des blocs de béton.",B2
1633,"Il eût fallu que le curé lui-même sût cette langue ; or elle était l'objet de ses mépris ; ses connaissances en ce genre se bornaient à réciter, par coeur, les prières de son missel, dont il pouvait rendre à peu près le sens à ses ouailles.",C2
1634,Un chien comme Djengo est éduqué (ou dressé) pour accompagner une personne aveugle ou qui voit mal et pour l'aider dans ses déplacements quotidiens.,B1
1635,"Le rap, c'est plus pour moi ""boom bap"", un peu ce qui se faisait avant",A2
1636,Je me souviens d'un été durant lequel nous nous étions beaucoup déplacés en caravane,C2
1637,"Les parents de mon mari habitent très loin de chez nous, mais mes parents ont une maison à quelques kilomètres de la nôtre",A1
1638,Le vernissage aura lieu le 22 juin à la Galerie de la Calande.,B2
1639,"Pour moi, les médecins et les infirmières sont des héros sans costume.",A2
1640,"Et on ira manger une gaufre juste après, ça te dit ?",A1
1641,"Il est reconnu utile pour les adultes qui travaillent, surtout pour les médecins, les reporters , ceux qui doivent voyager, ou encore en cas de pépin, de panne sur l'autoroute, d'accident.",B2
1642,Ma femme ma dit que tu es trés gentille.,A2
1643,"J'ai obtenu ce que je voulais, je suis satisfait.",A2
1644,"Un crime immotivé, quel embarras pour la police",C2
1645,Ne pas avaler.,A2
1646,"Ils disaient ça : ""Mais, en fait, j'ai eu tort"".",A2
1647,Vous avez bien entendu ce que le professeur a dit avant?,A2
1648,Vous êtes donc à la rédaction d'Inter spécialiste des questions environnementales et nous fêtons aujourd'hui les trente ans du Conservatoire du littoral.,C1
1649,"Pendant que les humains bavardaient, Mimi le caniche, Fido le berger allemand et moi, on se donnait les nouvelles du quartier et on reniflait les nouveaux arrivants",C1
1650,"Pour être naturalisé, il faut constituer un dossier et remplir certaines conditions.",B2
1651,Le départ est le seul horizon offert à ceux qui cherchent les mille écrins où le destin cache les solutions de ses mille erreurs.,C1
1652,"Quand il recevra cette déclaration, il constatera que tu es sincère et il s'apercevra que tu l'aimes vraiment.",B1
1653,"Au cours des années 1970 et 1980, plusieurs groupes environnementalistes de pays industrialisés d'Europe de l'ouest et d'Amérique du Nord ont organisé des campagnes contre la chasse aux baleines et aux phoques.",C1
1654,"Ces fromages sont en quelque sorte une garantie pour le bien-être des vaches et des chèvres, et pour la préservation du terroir.",B2
1655,Qu'en pensez-vous ?,A1
1656,"En fait, ma mère préfère faire le ménage toute seule parce que moi, je casse tout.",A2
1657,"Et bien, pourquoi pas ?",A2
1658,"Il ne savait rien, sinon qu'elle se rassemblait vers Maubeuge.",B2
1659,Versez peu à peu la farine dans le mélange oeuf-sucre pour éviter les grumeaux,C1
1660,"Fabrice se jeta après elle pour la sauver, et tous deux furent entraînés assez loin.",C1
1661,"Ce soir, je suis allé faire les courses pour notre pique-nique de demain : Nous allons faire une randonnée sur le plus grand volcan de l'île.",A2
1662,Le corgi a l'allure d'un petit renard.,A2
1663,On a dû écouter nos parents,A2
1664,Nous bénéficions de moyens financiers suffisants et justifier les raisons de leur séjour,C1
1665,Instinctivement je regardai ma montre : deux heures du matin.,C1
1666,"les dix minutes, vingt personnes sont autorisées à gravir l'escalier en colimaçon",C2
1667,Tu ne devrais pas prendre le même pull que ton père.,B1
1668,Je savais bien que j'étais assise depuis trop longtemps.,B1
1669,Bruxelles est en droit de défendre les politiques qu'elle conduit.,B1
1670,"Ce qu'il aime par dessus tout, c'est le bricolage.",A2
1671,Il n'y a pas eu de pluie depuis notre arrivée.,B1
1672,"Reprochant aux autorités administratives l'absence de politique forestière à long terme, ils profitent de la durée de leurs permis pour exploiter sans discernement tout ce qui peut se vendre afin d'accroître leurs marges bénéficiaires.",B2
1673,J'ai bien aimé le film,A2
1674,"Jeudi, on va au restaurant pour l'anniversaire de ma soeur.",A2
1675,Les vents ne se calmèrent qu'au petit matin.,A2
1676,Et tous les terrains Nathalie qui ont été acquis par le conservatoire sont effectivement ouverts au public.,C1
1677,"Pour accroître leur compétitivité, les multinationales qui contrôlent, par exemple, les marchés mondiaux du café et de la banane, tirent sans cesse les prix d'achat vers le bas.",C1
1678,"Au bout du petit matin, l'échouage hétéroclite, les puanteurs exacerbées de la corruption, les sodomies monstrueuses de l'hostie et du victimaire, les coltis infranchissables du préjugé et de la sottise, les prostitutions, les hypocrisies, les lubricités, les trahisons, les mensonges, les faux, les concussions - l'essoufflement des lâchetés insuffisantes, l'enthousiasme sans ahan aux poussis surnuméraires, les avidités, les hystéries, les perversions, les arlequinades de la misère, les estropiements, les prurits, les urticaires, les hamacs tièdes de la dégénérescence. Ici la parade des risibles et scrofuleux bubons, les poutures de microbes très étranges, le poisons sans alexitère connu, les sanies de plaies bien antiques, les fermentations imprévisibles d'espèces putrescibles.",C2
1679,"Oui, je l'ai reçue hier.",B1
1680,"Je suis contente, je vais voir Amélie",A1
1681,"Il y a l'eau qu'on consomme en pleine conscience, en la voyant couler et celle que lon consomme, voire que l'on gâche sans le savoir, elle s'appelle ""l'eau virtuelle""",B1
1682,"Ce code, si l'on en jugeait par l'entêtement soudain qu'elle mettait à ne pas vouloir faire certaines commissions que nous lui donnions, semblait avoir prévu des complexités sociales et des raffinements mondains tels que rien dans l'entourage de Françoise et dans sa vie de domestique de village n'avait pu les lui suggérer ; et l'on était obligé de se dire qu'il y avait en elle un passé français très ancien, noble et mal compris, comme dans ces cités manufacturières où de vieux hôtels témoignent qu'il y eut jadis une vie de cour, et où les ouvriers d'une usine de produits chimiques travaillent au milieu de délicates sculptures qui représentent le miracle de saint Théophile ou les quatre fils Aymon.",C2
1683,Ses propos ultra-monarchiques irritaient les populations qu'on voulait plonger dans le sommeil et l'incurie.,C1
1684,Tu n'as pas de stylo ?,A1
1685,"Boum voilà, on arrive, on veut faire du vélo en famille et on a les vacances.",B1
1686,Nous savions pertinemment qu'être aussi justes financièrement n'était pas normal.,B2
1687,"En le voyant, vous comprendez mieux.",B1
1688,"Il l'avait tenue là sévèrement enfermée, cloîtrée, ignorée et ignorante des choses humaines.",C1
1689,"Tout va bien, merci.",A1
1690,A samedi !,A1
1691,"Hier, en raison de violents orages, des villageois ont été privés d'électricité.",B2
1692,"Là encore, la continuité: de tous les choix possibles, la tolérance constitue, quelle que soit l'année, la valeur ou qualité la plus souvent choisie par les enquêtes, commente le chargé de recherche à la Fondation nationale des sciences politiques.",B2
1693,"Ils auraient voulu que ces vacances ne finissent jamais, mais ils rentrés des souvenirs plein la tête",B2
1694,"Serveur : bonsoir, madame, en quoi puis-je vous aider ?",A2
1695,Il y a beaucoup de désordre dans l'appartement.,A1
1696,Il suffit de rester 30 minutes dans la cabine LIRVA pour être capable de se débrouiller dans toutes les situations de la vie quotidienne et dans la langue de son choix.,A1
1697,"Ce réseau de lieux se déploie à l'échelle européenne, non sans rencontrer des barrières linguistiques (l'allemand) ou des frontières difficiles à franchir de la France).",C1
1698,"Dis donc, il fait beau en ce moment ! L'été n'est plus très loin.",B1
1699,Je t'aime.,A1
1700,Son accent est si naturel que cela n'a posé aucun problème.,B1
1701,"Depuis 2006, les particuliers français peuvent recycler des déchets d'équipements électriques et électroniques grâce à la reprise un pour un .",B2
1702,"Après de longs efforts, il parvint à se faire aimer ; et comme il ne m'avait point caché ses revers et ses peines, il se crut obligé de me communiquer ses succès : rien n'égalait ses transports et l'excès de sa joie.",C2
1703,Il joue dans le jardin avec un ballon.,A1
1704,"Souvent plus productif que les autres , il crée un effet fédérateur dans une équipe de travail où les petits problèmes courants sont relativisés .",B1
1705,"C'est quelqu'un sur qui vous pouvez compter, vous pouvez vous fier à lui.",B1
1706,"Une petite marque au front, des cicatrices sur le corps et une démarche légèrement claudicante étaient les seules traces visibles de l'accident qu'elle avait subi un an et demi auparavant.",B2
1707,Cela peut être perçu comme étant très réducteur !,B2
1708,"Ses soutiens la voient comme une militante acharnée de l'écologie, qui n'hésite pas à faire entendre sa voix.",C1
1709,Quel âge tu as ?,A1
1710,"Désormais, il concentra tous les pouvoirs entre ses mains",B2
1711,"Deux drôles effroyables, mais très polis, me firent gracieusement place sur le divan de paille; et le café que je pris là était certainement meilleur que la décoction noire du plus célèbre café de Paris.",C1
1712,"""Parce que les révisions aident à faire retrouver la trace du rangement au sein de sa mémoire, ajoute-t-il",C2
1713,"Dès cette époque, il existe des établissements spécialisés pour la préparation des concours, pour la plupart des institutions privées.",C2
1714,Elles obligent les partenaires à un effort permanent de communication pour maintenir un modus vivendi enrichi d'imagination.,C2
1715,"Mesdames, votre attention, s'il vous plaît.",A1
1716,La mission de l'école a changé.,A2
1717,"Si quelques-uns échappent à cette destinée générale, ils renferment en eux-mêmes leur dissentiment secret ; ils aperçoivent dans la plupart des ridicules le germe des vices : ils n'en plaisantent plus, parce que le mépris remplace la moquerie, et que le mépris est silencieux.",C2
1718,Je t'aurais bien envoyé une photo mais nous n'avons pas d'appareil,B1
1719,"Allons, qui est celui qui veut ouvrir la liste ?",B1
1720,"Et en août, nous passerons peut-être quelques jours dans les montagnes.",B1
1721,"Il n'a fallu que 12 ans, entre 1999 et 2011, pour que la population mondiale passe de 6 à 7 milliards d'habitants",B1
1722,"Yukihiro Kimura, inventeur du recyclage des couches-culottes en combustible, Yonago, Japon.",B2
1723,Je cherchai enfin un raisonnement qui pût me tirer de cette lutte avec honneur à mes propres yeux.,C2
1724,Ils étaient là,A1
1725,"Bien-aimé, maudit soit cet orage qui me retint en mer, m'empêchant de venir à temps !",C1
1726,"De délicieux petits beignets tendres et croustillants à la fois, une recette idéale pour voyager sous le soleil des tropiques",C1
1727,"Lorsque j'aurai terminé mes études, je prendrai une année sabbatique.",B2
1728,"Pour certains auteurs, les conséquences pourraient être une évolution importante de l'organisation traditionnelle de l'entreprise",C2
1729,"Une crise survient à l'issue d'une période de quelques mois, pendant laquelle la pression - professionnelle, familiale ou existentielle - ne cesse de monter.",C1
1730,"Une plaisanterie plus légère, une conversation plus variée, un mélange particulier de mélancolie et de gaieté, de découragement et d'intérêt, d'enthousiasme et d'ironie, étonnèrent et attachèrent Ellénore.",C2
1731,"Un graphe paysager représentant le réseau de prairie au niveau régional (zone englobant essentiellement les plateaux jurassiens du département du Doubs) avait déjà été réalisé dans une étude précédente, à partir d'une carte d'occupation du sol moins précise et dérivée d'une classification d'image satellitaire ; cette première étude avait permis de tester différents paramétrages du graphe, pour représenter avec le plus de validité l'""infrastructure prairiale"" telle qu'elle est perçue par les campagnols terrestres.",C1
1732,Le portable permet aux jeunes de garder un espace privé au sein de la vie familiale.,B2
1733,"En Chine, la Fête des mères a lieu le 2e dimanche de mai.",B1
1734,Le marché fut bientôt conclu.,B2
1735,C'est fini.,A1
1736,"L'inégalité entre pays riches et pauvres, ainsi qu'elle saute aux yeux au mitant du dernier siècle, au moment des décolonisations, n'était ni éternelle, ni inévitable.",C1
1737,"Pendant sa courte période d'activité, le robot a travaillé d'arrache-pied.",B2
1738,"""J'ai accepté la demande de Neera Tanden de retirer"" sa candidature, a annoncé Joe Biden dans un communiqué.",B2
1739,Le chat est arrivé dans le salon et il gratté le fauteuil avec ses griffes.,A1
1740,"Hélas: c'est une interjection qui exprime la plainte, la souffrance, le regret.",B1
1741,"Au collège et au lycée, on pratique l'art de la conversation, celui de la complicité, des petites passions partagées dans un sentiment de légèreté et d'insouciance puisque rien n'est définitif.",B2
1742,La Chandeleur est une fête très ancienne.,A2
1743,L'école ne peut pas tout faire.,A2
1744,Ce magasin n'est pas loins de chez moi,A1
1745,"Pour clore cette monographie du café constantinopolitain, citons-en un autre qui n'est guère fréquenté que par des matelots.",C1
1746,"C'est ce que tâcherait de concevoir une pensée véritablement complexe, inspirée d'Edgar Morin, qui aurait conscience des liens unissant chaque chose.",C2
1747,Il n'est jamais retourné à Brazzaville où il a passé une partie de son enfance.,B1
1748,"Non il ne l'a pas encore reconnu, je crois.",A2
1749,Il y a deux trains pour Lille le matin,A1
1750,"S'il fait tenir dans trois cents pages dix ans d'une vie pour montrer quelle a été, au milieu de tous les êtres qui l'ont entourée, sa signification particulière et bien caractéristique, il devra savoir éliminer, parmi les menus événements innombrables et quotidiens, tous ceux qui lui sont inutiles, et mettre en lumière, d'une façon spéciale, tous ceux qui seraient demeurés inaperçus pour des observateurs peu clairvoyants et qui donnent au livre sa portée, sa valeur d'ensemble.",C1
1751,C'est toujours un plaisir de vous écouter.,A2
1752,"Quand l'homme de condition moyenne devient un grand personnage, les flatteries commencent à se terner et les médisances à fleurir",C2
1753,Soyons réceptif,C1
1754,Il fait très froid ici,A2
1755,"Il n'est guère étonnant, dès lors, que la bifurcation professionnelle et le déménagement prennent des allures de conversion identitaire .",C1
1756,"Dès qu'elle fut rentrée, elle éclata en sanglots",C2
1757,Le rouge est la couleure des tomates et des fraises.,A1
1758,"Chaque fin de semaine, ils partaient ensemble en randonnée dans les Alpes.",C1
1759,"À 60 ans aujourd'hui, on a encore devant soi vingt-cinq, voire trente années , explique Patrice Leclerc, responsable du programme personnes âgées à la Fondation de France.",B2
1760,"Pour se détendre, Théo prend souvent un bain le soir avant de jouer encore un peu et d'aller dormir",A2
1761,"Le chien battit de la queue frénétiquement, puis il rejoignit sa maîtresse en aboyant joyeusement.",C1
1762,"En 1620, le Mayflower - un bateau venu d'Europe - accoste dans une zone inconnue qui deviendra beaucoup plus tard la ville de Plymouth dans le nord des États-Unis actuels",B2
